URL,CantidadInternas
https://www.facebook.com/francogsc/posts/10217152520062934,0
https://twitter.com/UNESCOQuito/status/1062794864969048064,-1
https://goo.gl/zpTHAh,-1
https://www.instagram.com/p/BqSeEt8gvnT/?utm_source=ig_twitter_share&igshid=zpmaewsqxpku,76
https://www.instagram.com/p/BqTd2b1gxKM/?utm_source=ig_twitter_share&igshid=a2nik249bkeu,76
https://www.instagram.com/p/BqVXRaCAXCkEA3lMEYtVmGFYimiehs8QJvmh5I0/?utm_source=ig_twitter_share&igshid=1udgy2orgy3dr,14
https://twitter.com/cultura_ec/status/1063118751523131392,-1
https://goo.gl/ohEuUF,-1
https://twitter.com/festivaldeloja/status/1062731538616516608,-1
http://m.facebook.com/SiguemeLojaOficial,0
https://goo.gl/H5ewVW,3
https://twitter.com/Cultura_Ec/status/1063164261810212865,-1
https://twitter.com/Cultura_Ec/status/1063081000606023680,-1
https://www.culturaypatrimonio.gob.ec/jovenes-aprenden-a-construir-titeres-en-el-fiavl-2018/,-1
http://festivaldeloja.com,-1
https://goo.gl/poUzFf,-1
http://bit.ly/2BdApxz,0
https://twitter.com/EducacionZ7_Ec/status/1063533149374824448,-1
https://www.instagram.com/p/BqWNKz0lxwP/?utm_source=ig_twitter_share&igshid=n9dfjhb9wmei,76
https://www.facebook.com/CapturLojaOficial/videos/575019636279177/,3
https://goo.gl/QVkTnz,3
https://twitter.com/ARCSA_CZ7/status/1062409071310094336/photo/1,-1
https://www.instagram.com/p/BqTdVmaAKcU/?utm_source=ig_twitter_share&igshid=1blnb6t185xdu,76
https://twitter.com/FestivalDeLoja/status/1063416395508133889,-1
https://goo.gl/KZV2Gr,3
https://twitter.com/teatrobenjaminc/status/1062823093767430144,-1
https://twitter.com/guarromantico_/status/1062556991724417024,-1
https://twitter.com/FestivalDeLoja/status/1063039713777467392,-1
https://www.instagram.com/p/BqKlkubAcjf/?utm_source=ig_twitter_share&igshid=1o9s9tvzs74p5,76
https://twitter.com/EducacionZ7_Ec/status/1063536637244817409,-1
https://www.eluniverso.com/entretenimiento/2018/11/18/nota/7055595/dos-elencos-se-sumergen-obra-pablo-palacio,9
https://www.prensa-latina.cu/index.php?o=rn&id=229259&SEO=grupo-la-colmenita-irradia-cubania-en-festival-de-artes-vivas-de-loja-fotos,174
https://twitter.com/uartesec/status/1062786306542092290,-1
http://bit.ly/2z4tODk,0
http://sncyt.com/2TgtZEU,-1
https://twitter.com/FestivalDeLoja/status/1057284228403118081,-1
https://www.instagram.com/p/BqP-xn-gBh-/?utm_source=ig_twitter_share&igshid=1izfuiuoplr4n,76
https://twitter.com/rapereztorresec/status/1063180756195905538,-1
https://youtu.be/2eFwCf08xdQ,1
https://www.facebook.com/story.php?story_fbid=563620484085759&id=100013134367643,2
https://www.facebook.com/story.php?story_fbid=575459329568541&id=100013134367643,2
https://goo.gl/bsX6Lc,-1
https://bit.ly/2TnqtbV,-1
https://www.instagram.com/p/BqONczbBVqK/?utm_source=ig_twitter_share&igshid=1ntt71cl0pj7i,14
https://www.facebook.com/srradioec/videos/266803797361132/,0
